	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Obp59a	10721.0925203578	-0.0802965411911997	0.0217408916938439	-3.69334166794715	0.000221326334501384	0.000622480315785143
Obp58b	887.606751794466	0.0341818308161119	0.0521892846479826	0.654958791764801	0.512494285958695	0.606901128108981
Obp58d	61.5951487200662	-0.67162708850928	0.200496285175429	-3.34982310481026	0.000808631841596168	0.00191518067746461
Obp22a	0.471207840808805	-0.335149130445375	1.47724503075227	-0.22687443414496	0.820521382316258	0.860727410623896
Obp84a	12903.2218089025	0.437627176289814	0.0375375981269942	11.6583691585506	2.07987909606845e-31	4.67972796615401e-30
Obp83g	62.400121261927	0.724257945082368	0.162652981574565	4.4527800109852	8.47655897729552e-06	2.93419349214076e-05
Obp83ef	385.690353105407	-0.466102118526905	0.0519471056108278	-8.97262923595403	2.89519310824467e-19	2.17139483118351e-18
Obp83b	73040.1439554962	-0.00992947154752992	0.124510203377395	-0.0797482557910002	0.936437479070041	0.952377893346857
Obp83a	62980.0838617174	0.202877045730092	0.103355097394578	1.96291282040565	0.0496563048319156	0.0770528868081449
Obp83cd	91.3592302768281	-0.65443931723657	0.127113843974996	-5.14845037150557	2.62647255715229e-07	1.18191265071853e-06
Obp56g	185.468797966267	0.812339035050763	0.339535067676992	2.39250408097334	0.0167338419979687	0.0327401256481996
Obp56c	159.1849826229	0.533704500782193	0.147854965888517	3.60964880398138	0.000306611844941351	0.000766529612353377
Obp56b	2.21477354926297	0.758204711180709	0.894850297261921	0.847297825681768	0.396829138284755	0.496036422855944
Obp51a	0.878692278720865	2.92980825193163	1.15893581667847	2.52801596927819	0.0114709134314409	0.024580528781659
Obp50e	2.10599765264803	0.944534103812043	0.687012905711753	1.37484186389992	0.169180476103147	0.23791004452005
Obp50a	226.384645783617	0.856606255761963	0.0898678476563627	9.53184345793459	1.54514657157074e-21	1.39063191441367e-20
Obp49a	388.441768175996	0.863400771123626	0.078295052383919	11.027526578435	2.81500710528197e-28	4.22251065792295e-27
Obp47b	44.3812016583693	0.155541532303332	0.151094525345592	1.0294319529286	0.303276740518907	0.40672536884852
Obp46a	1.17236095691113	-0.432228097415731	0.995928791410756	-0.433994981512152	0.664292085338408	0.766490867698163
Obp44a	2248.61805048298	-1.64204834271714	0.0956588949015555	-17.1656628942557	4.79971730354552e-66	2.15987278659549e-64
Obp47a	0	NA	NA	NA	NA	NA
Obp50b	2.20599480497272	-2.71063303257691	1.31020705869166	-2.0688585171291	0.0385593652924331	0.0667373630061341
Obp50c	1.85125320913129	-2.96632634443064	1.62495015128908	-1.82548759546712	0.0679274814090123	0.101891222113518
Obp50d	0.101675746360884	1.03551612171643	3.11653965008542	0.33226470315821	0.739689390089927	0.811854208635286
Obp56a	61.4444635932021	0.623500464142456	0.139137672680267	4.48117646451682	7.42327001830751e-06	2.78372625686532e-05
Obp56h	6.99761424118811	0.904197937860553	0.449261611791671	2.01263120224	0.0441534419085756	0.0709608887816394
Obp56i	0.39901672302534	0.0879518677614292	1.47271404198655	0.0597209405586914	0.952377893346857	0.952377893346857
Obp57c	14357.2432767271	0.0194262546466412	0.0865830468497591	0.224365569859768	0.822472859040612	0.860727410623896
Obp57b	3640.57525611022	-0.230510500756165	0.0569384721628475	-4.04841387554079	5.15659022374485e-05	0.000158069323831507
Obp57a	496.957918806686	-0.359067915202315	0.0753392251049533	-4.76601550788592	1.87904802968415e-06	7.6870146668897e-06
Obp19c	1231.19164781801	0.527707366429676	0.247976707450363	2.12805215399234	0.0333327596622335	0.0624989243666879
Obp19a	74975.8964703484	0.365617596894473	0.227867091485079	1.60452127822246	0.108599198059265	0.157643997182804
Obp19b	905.652840910526	0.584624850336876	0.285893157547961	2.04490675940295	0.0408640514027519	0.0681067523379199
Obp19d	293752.756507708	0.187581609825204	0.199052641498422	0.942371869135385	0.346002284389929	0.444860079929909
Obp56d	99214.8869035278	0.379030247210167	0.0528120626470627	7.17696352333719	7.12766942556776e-13	4.00931405188187e-12
Obp56e	11.5567341483301	-0.2051165437374	0.292531764401868	-0.701176995793249	0.483192564200551	0.587666632135805
Obp56f	4.46558671281133	-2.22771832728184	0.925412341743003	-2.40727103669913	0.0160722368098401	0.0327401256481996
Obp69a	12673.314544644	0.189362582447911	0.0910509777210735	2.07974243865899	0.0375491632793895	0.0667373630061341
Obp73a	52.45785560265	-0.169418404136306	0.165950663197873	-1.02089621621034	0.307303612018882	0.40672536884852
Obp85a	5.02079319875057	1.8163360701289	0.55705920605571	3.26057993546068	0.00111184622737628	0.00250165401159663
Obp99b	695.48146004177	-2.57660887098758	0.259603844474265	-9.92515683350367	3.23593616324211e-23	3.64042818364737e-22
Obp99a	84.4806308907675	-2.05865528197874	0.295434945750285	-6.96821859293115	3.20979239090154e-12	1.60489619545077e-11
Obp8a	48.8920537981884	-0.0881445439067624	0.24096810165774	-0.365793411245605	0.714519236734903	0.803834141326766
Obp99c	295.825025897126	-1.33751672670443	0.168217958540894	-7.95109355924849	1.84872257362636e-15	1.18846451161695e-14
Obp99d	19.3433104987923	0.973003458916022	0.240642077497166	4.04336377509658	5.26897746105023e-05	0.000158069323831507
Obp28a	115105.496730675	0.285426665891324	0.0781345549430286	3.6530145477816	0.000259179541222755	0.000686063491472
